Groups	AN	Species
metazoans_mit	MT318862.1	Trissopathes grasshoffi partial genome
metazoans_mit	MT323103.1	Batillaria cumingii
metazoans_mit	MT345685.1	Echinorhynchus gymnocyprii
metazoans_mit	MT345686.1	Acanthocephalus sp.
metazoans_mit	MT356995.1	Diaphanosoma celebensis
metazoans_mit	MT361971.1	Acochlidium fijiense
metazoans_mit	MT363252.1	Batillaria zonalis
metazoans_mit	MT364421.1	Cantharis plagiata partial genome
metazoans_mit	MT371796.1	Amblyomma transversale
metazoans_mit	MT371799.1	Argas japonicus
metazoans_mit	MT371800.1	Dermacentor bellulus
metazoans_mit	MT371804.1	Haemaphysalis megaspinosa
metazoans_mit	MT371805.1	Haemaphysalis pentalagi
metazoans_mit	MT371807.1	Ixodes monospinosus
metazoans_mit	MT371810.1	Ixodes tanuki
metazoans_mit	MT371811.1	Ixodes turdus
metazoans_mit	MT371812.1	Alectorobius sawaii
metazoans_mit	MT375556.1	Siliqua minima
metazoans_mit	MT381926.1	Alticola tuvinicus partial genome
metazoans_mit	MT419887.1	Chalcidoidea sp.
metazoans_mit	MT425058.1	Tremex fuscicornis
metazoans_mit	MT433094.1	Hyperacrius fertilis partial genome
metazoans_mit	MT462160.1	Aldrichiomyza flaviventris
metazoans_mit	MT462161.1	Homoneura sp.
metazoans_mit	MT462162.1	Leptocera erythrocera
metazoans_mit	MT462163.1	Pachylophus sp.
metazoans_mit	MT462164.1	Paragus quadrifasciatus
metazoans_mit	MT462165.1	Phyllomyza obliquusa
metazoans_mit	MT465995.1	Periplaneta lateralis
metazoans_mit	MT476588.1	Sphaerirostris lanceoides partial genome
metazoans_mit	MT476589.1	Neoechinorhynchus sp.
metazoans_mit	MT478109.1	Leptocimbex clavicornis partial genome
metazoans_mit	MT478110.1	Leptocimbex praiaformis partial genome
metazoans_mit	MT478111.1	Leptocimbex yanniae partial genome
metazoans_mit	MT483991.1	Ellobius fuscocapillus partial genome
metazoans_mit	MT483992.1	Ellobius lutescens partial genome
metazoans_mit	MT491209.1	Eochionelasmus coreana partial genome
metazoans_mit	MT492448.1	Eolagurus luteus partial genome
metazoans_mit	MT492449.1	Lagurus lagurus partial genome
metazoans_mit	MT492450.1	Synaptomys cooperi partial genome
metazoans_mit	MT547768.1	Linoclostis gonatias
metazoans_mit	MT548574.1	Celypha sp.
metazoans_mit	MT556667.1	Triatoma nitida partial genome
metazoans_mit	MT556669.1	Linshcosteus costalis partial genome
metazoans_mit	MT558946.1	Habrobracon hebetor 1
metazoans_mit	MT559281.1	Synallactes sp. partial genome
metazoans_mit	MT598643.1	Lemmiscus curtatus partial genome
metazoans_mit	MT611525.1	Unaspis yanonensis
metazoans_mit	MT635132.1	Camarochiloides weiweii partial genome
metazoans_mit	MT663219.1	Eutomostethus vegetus partial genome
metazoans_mit	MT663338.1	Dasyurus spartacus
metazoans_mit	MT663339.1	Macrotis leucura
metazoans_mit	MT663340.1	Microperoryctes murina
metazoans_mit	MT671487.1	Caenidae sp.
metazoans_mit	MT671488.1	Baetidae sp.
metazoans_mit	MT671489.1	Erpobdellidae sp.
metazoans_mit	MT671490.1	Euphaeidae sp.
metazoans_mit	MT671491.1	Gyrinidae sp.
metazoans_mit	MT671492.1	Mideopsis roztoczensis
metazoans_mit	MT671493.1	Onychogomphus forcipatus
metazoans_mit	MT671495.1	Chironomidae sp.
metazoans_mit	MT671496.1	Dixidae sp.
metazoans_mit	MT671497.1	Simulium petricolum
metazoans_mit	MT677923.1	Ceroplastes rubens
metazoans_mit	MT683841.1	Galleria similis
metazoans_mit	MT702984.1	Colochela zhongi partial genome
metazoans_mit	MT712139.1	Muscidifurax similadanacus partial genome
metazoans_mit	MT712140.1	Muscidifurax sinesensilla partial genome
metazoans_mit	MT712141.1	Nasonia vitripennis partial genome
metazoans_mit	MT712142.1	Pachycrepoideus vindemmiae partial genome
metazoans_mit	MT737366.1	Anomalodiscus squamosus
metazoans_mit	MT737367.1	Tapes belcheri
metazoans_mit	MT737369.1	Gafrarium pectinatum
metazoans_mit	MT737370.1	Circe scripta
metazoans_mit	MT737372.1	Leukoma jedoensis
metazoans_mit	MT737374.1	Costacallista erycina
metazoans_mit	MT737375.1	Placamen foliaceum
metazoans_mit	MT737376.1	Placamen isabellina
metazoans_mit	MT737377.1	Periglypta puerpera
metazoans_mit	MT755966.1	Nasonia longicornis partial genome
metazoans_mit	MT762278.1	Nasonia oneida partial genome
metazoans_mit	MT782121.1	Pseudorana sangzhiensis
metazoans_mit	MT795162.1	Mongoloniscus sp.
metazoans_mit	MT797632.1	Menippe mercenaria
metazoans_mit	MT835290.1	Neobenedenia girellae
metazoans_mit	MT849323.1	Osmia pedicornis partial genome
metazoans_mit	MT877080.1	Helminthope sp.
metazoans_mit	MT877082.1	Aspidosiphon sp.
metazoans_mit	MT877083.1	Tetrastemma sp.
metazoans_mit	MT877084.1	Ototyphlonemertes cf. macintoshi
metazoans_mit	MT877085.1	Aspidosiphon gosnoldi
metazoans_mit	MT877089.1	Pontohedyle milaschewitchii
metazoans_mit	MT877092.1	Pontohedyle sp.
metazoans_mit	MT877093.1	Caecum sp.
metazoans_mit	MT877096.1	Ototyphlonemertes parmula
metazoans_mit	MT877097.1	Asperspina sp.
metazoans_mit	MT877101.1	Phascolion sp.
metazoans_mit	MT877102.1	Polygordius sp.
metazoans_mit	MT877103.1	Ototyphlonemertes cf. duplex
metazoans_mit	MT877106.1	Ototyphlonemertes erneba
metazoans_mit	MT877107.1	Cratenemertes sp.
metazoans_mit	MT877108.1	Ototyphlonemertes fila
metazoans_mit	MT877109.1	Eumonostilifera sp.
metazoans_mit	MT877111.1	Aeolidia sp.
metazoans_mit	MT877112.1	Cadlina modesta
metazoans_mit	MT877113.1	Rhodope sp.
metazoans_mit	MT877115.1	Pseudovermis sp.
metazoans_mit	MT877116.1	Chiridotidae sp.
metazoans_mit	MT877117.1	Aspidosiphon laevis
metazoans_mit	MT877118.1	Chitonida sp.
metazoans_mit	MT877119.1	Macrochaeta sp.
metazoans_mit	MT877120.1	Pisione galapagoensis
metazoans_mit	MT877121.1	Pisionidens sp.
metazoans_mit	MT877122.1	Meiodrilus sp.
metazoans_mit	MT877123.1	Pharyngocirrus sonomacus
metazoans_mit	MT877124.1	Claudrilus sp.
metazoans_mit	MT877126.1	Raricirrus sp.
metazoans_mit	MT877127.1	Megadrilus hochbergi
metazoans_mit	MT877130.1	Protodrilus sp.
metazoans_mit	MT877132.1	Branchiostoma sp.
metazoans_mit	MT877133.1	Ototyphlonemertes lactea
metazoans_mit	MT880603.1	Crocuta crocuta partial genome
metazoans_mit	MT906648.2	Apocrypta bakeri partial genome
metazoans_mit	MT916176.1	Orthaga achatina
metazoans_mit	MT916179.2	Ceratosolen fusciceps partial genome
metazoans_mit	MT920401.1	Poeciloneta variegata
metazoans_mit	MT920404.1	Uloboridae sp.
metazoans_mit	MT920405.1	Trachelas alticolus
metazoans_mit	MT920406.1	Salticidae sp.
metazoans_mit	MT920407.1	Hygropoda sp.
metazoans_mit	MT920408.1	Drassodes pectinifer
metazoans_mit	MT920409.1	Enoplognatha margarita
metazoans_mit	MT920410.1	Hamataliwa sp.
metazoans_mit	MT920411.1	Aculepeira serpentina
metazoans_mit	MT920412.1	Agelena chayu
metazoans_mit	MT920413.1	Anyphaena sp.
metazoans_mit	MT920414.1	Psechrus inflatus
metazoans_mit	MT921256.1	Collocalia esculenta spilura partial genome
metazoans_mit	MT921257.1	Collocalia linchi linchi partial genome
metazoans_mit	MT921258.1	Aerodramus maximus partial genome
metazoans_mit	MT947389.1	Phreagena soyoae partial genome
metazoans_mit	MT947596.2	Dolichoris vasculosae partial genome
metazoans_mit	MT947597.2	Eupristina koningsbergeri partial genome
metazoans_mit	MT947598.2	Kradibia gibbosae partial genome
metazoans_mit	MT947599.2	Sycophaga agraensis partial genome
metazoans_mit	MT947600.2	Sycobia sp. partial genome
metazoans_mit	MT947601.2	Wiebesia pumilae partial genome
metazoans_mit	MT947602.2	Philotrypesis tridentata partial genome
metazoans_mit	MT947603.2	Sycophila sp. partial genome
metazoans_mit	MT947604.2	Platyscapa corneri partial genome
metazoans_mit	MT948192.1	Polistes sagittarius
metazoans_mit	MT948193.1	Polistes snelleni
metazoans_mit	MT982364.1	Desis martensi
metazoans_mit	MW004651.1	Pachytriton inexpectatus
metazoans_mit	MW027641.1	Sciurus anomalus partial genome
metazoans_mit	MW029462.1	Harmonia eucharis
metazoans_mit	MW029464.1	Coccinella lama
metazoans_mit	MW029465.1	Adalia bipunctata 1
metazoans_mit	MW029466.1	Coccinella transversoguttata 2
metazoans_mit	MW029467.1	Oenopia dracoguttata
metazoans_mit	MW035611.1	Leptomona sp.
metazoans_mit	MW035614.1	Physosmaragdina nigrifrons 1
metazoans_mit	MW035615.1	Smaragdina sp.
metazoans_mit	MW035616.1	Cryptocephalus sp.
metazoans_mit	MW035617.1	Trirhabda sp.
metazoans_mit	MW035618.1	Sangariola sp.
metazoans_mit	MW035619.1	Clytra sp.
metazoans_mit	MW035620.1	Plagiodera versicolora
metazoans_mit	MW035622.1	Labidostomis sp.
metazoans_mit	MW035623.1	Clitenella fulminans
metazoans_mit	MW035624.1	Lema cyanella
metazoans_mit	MW057863.1	Haplaxius crudus
metazoans_mit	MW130856.1	Bathybothrium sp.
metazoans_mit	MW130857.1	Proteocephalus sp.
metazoans_mit	MW143038.1	Hydroides albiceps
metazoans_mit	MW143040.1	Hydroides ezoensis
metazoans_mit	MW143041.1	Hydroides homoceros
metazoans_mit	MW143042.1	Hydroides operculata
metazoans_mit	MW143043.1	Hydroides pseudouncinata
metazoans_mit	MW143044.1	Hydroides sanctaecrucis
metazoans_mit	MW143045.1	Hydroides dirampha
metazoans_mit	MW143046.1	Hydroides minax
metazoans_mit	MW167113.1	Odontofroggatia galili partial genome
metazoans_mit	MW167114.1	Platyneura mayri partial genome
metazoans_mit	MW167115.1	Micranisa ralianga partial genome
metazoans_mit	MW167116.1	Walkerella microcarpae partial genome
metazoans_mit	MW178204.1	Nephila pilipes
metazoans_mit	MW178205.1	Trichonephila antipodiana
metazoans_mit	MW178206.1	Nephila vitiana
metazoans_mit	MW182410.1	Longpotamon exiguum partial genome
metazoans_mit	MW182419.1	Tabanus mandarinus
metazoans_mit	MW193727.1	Niviventer andersoni
metazoans_mit	MW193728.1	Niviventer gladiusmaculus
metazoans_mit	MW193730.1	Niviventer huang
metazoans_mit	MW193731.1	Niviventer fengi
metazoans_mit	MW193732.1	Niviventer eha
metazoans_mit	MW193735.1	Niviventer tenaster
metazoans_mit	MW193736.1	Niviventer niviventer
metazoans_mit	MW193740.1	Niviventer andersoni pianmaensis
metazoans_mit	MW193741.1	Niviventer mekongis
metazoans_mit	MW193742.1	Niviventer brahma
metazoans_mit	MW193743.1	Chiromyscus thomasi
metazoans_mit	MW193744.1	Chiromyscus langbianis
metazoans_mit	MW199168.1	Heterodoxus spiniger partial genome
metazoans_mit	MW199175.1	Osborniella crotophagae partial genome
metazoans_mit	MW199176.1	Ricinus sp. partial genome
metazoans_mit	MW222190.2	Xenos cf. moutoni partial genome
metazoans_mit	MW229063.1	Cryptophyllium westwoodii partial genome
metazoans_mit	MW237769.1	Pandalus platyceros
metazoans_mit	MW255941.1	Metallus mai partial genome
metazoans_mit	MW258651.1	Canis lupus dingo
metazoans_mit	MW279212.1	Psyttalia concolor partial genome
metazoans_mit	MW279213.1	Psyttalia humilis partial genome
metazoans_mit	MW279214.1	Psyttalia lounsburyi partial genome
metazoans_mit	MW309841.1	Bathyacmaea lactea
metazoans_mit	MW316633.1	Polydora websteri
metazoans_mit	MW316635.1	Polydora brevipalpa
metazoans_mit	MW321507.1	Paralaudakia stoliczkana
metazoans_mit	MW324676.1	Strongylogaster xanthocera partial genome
metazoans_mit	MW334948.1	Tanaisia sp. partial genome
metazoans_mit	MW357301.1	Pseudovates peruviana partial genome
metazoans_mit	MW394227.1	Orfelia sp.
metazoans_mit	MW438294.2	Sepsis monostigma partial genome
metazoans_mit	MW442371.1	Bradysia hygida partial genome
metazoans_mit	MW465311.1	Rhopalura ophiocomae
metazoans_mit	MW465655.1	Oliarus polyphemus
metazoans_mit	MW482963.1	Metopidius indicus partial genome
metazoans_mit	MW531959.1	Simoides sp. n.
metazoans_mit	MW531963.1	Syritta bulbus
metazoans_mit	MW531964.1	Phytomia natalensis
metazoans_mit	MW531965.1	Syritta fasciata
metazoans_mit	MW531966.1	Mesembrius minor
metazoans_mit	MW531967.1	Phytomia bezzii
metazoans_mit	MW531969.1	Mesembrius africanus
metazoans_mit	MW531970.1	Phytomia incisa
metazoans_mit	MW531971.1	Mesembrius ctenifer
metazoans_mit	MW531972.1	Syritta stigmatica
metazoans_mit	MW531973.1	Simoides crassipes
metazoans_mit	MW531975.1	Phytomia curta
metazoans_mit	MW531978.1	Chasmomma laterale
metazoans_mit	MW531981.1	Chasmomma sp. n.
metazoans_mit	MW531982.1	Eristalinus flaveolus
metazoans_mit	MW531984.1	Microdon sp.
metazoans_mit	MW531985.1	Chasmomma femoratum
metazoans_mit	MW531987.1	Eristalinus megametapodus
metazoans_mit	MW531988.1	Eristalinus cf. cupreus
metazoans_mit	MW531989.1	Phytomia fronto
metazoans_mit	MW531994.1	Syritta hirta
metazoans_mit	MW531995.1	Syritta breva
metazoans_mit	MW531996.1	Phytomia bulligera
metazoans_mit	MW531999.1	Chasmomma albitarsis
metazoans_mit	MW532000.1	Syritta tomentosa
metazoans_mit	MW532001.1	Chasmomma minutum
metazoans_mit	MW532002.1	Syritta similis
metazoans_mit	MW532003.1	Eristalinus lineifacies
metazoans_mit	MW532004.1	Eristalinus myiatropinus
metazoans_mit	MW532006.1	Eristalinus cf. ampyx
metazoans_mit	MW532008.1	Eristalinus sexvittatus
metazoans_mit	MW532009.1	Eristalinus cf. euzonus/haplops
metazoans_mit	MW532013.1	Eristalinus mendax
metazoans_mit	MW532017.1	Eristalinus quinquelineatus
metazoans_mit	MW532018.1	Eristalinus seychellarum
metazoans_mit	MW532019.1	Eristalinus surcoufi
metazoans_mit	MW532021.1	Eristalinus taeniops
metazoans_mit	MW532024.1	Mesembrius chapini
metazoans_mit	MW532026.1	Mesembrius cyanipennis
metazoans_mit	MW532027.1	Mesembrius regulus
metazoans_mit	MW532029.1	Mesembrius capensis
metazoans_mit	MW532030.1	Mesembrius strigilatus
metazoans_mit	MW532031.1	Mesembrius tarsatus
metazoans_mit	MW532032.1	Syritta albopilosa
metazoans_mit	MW532033.1	Syritta cerca
metazoans_mit	MW532038.1	Syritta minuta
metazoans_mit	MW532039.1	Syritta sp. n.
metazoans_mit	MW532040.1	Syritta flaviventris
metazoans_mit	MW532042.1	Syritta hova
metazoans_mit	MW532043.1	Syritta leona
metazoans_mit	MW532044.1	Syritta cf. longiseta
metazoans_mit	MW532046.1	Syritta incrassata
metazoans_mit	MW532049.1	Phytomia sp.
metazoans_mit	MW532050.1	Eristalinus gymnops
metazoans_mit	MW532051.1	Eristalinus eclarus
metazoans_mit	MW532053.1	Mesembrius sp. n.
metazoans_mit	MW532055.1	Phytomia fucoides
metazoans_mit	MW532056.1	Phytomia kroeberi
metazoans_mit	MW532063.1	Mesembrius caffer
metazoans_mit	MW532064.1	Eristalinus smaragdinus
metazoans_mit	MW532065.1	Syritta austeni
metazoans_mit	MW532066.1	Eristalis apis
metazoans_mit	MW532073.1	Syritta decora
metazoans_mit	MW532075.1	Syritta leucopleura
metazoans_mit	MW532076.1	Syritta longiseta
metazoans_mit	MW532078.1	Syritta congoensis
metazoans_mit	MW535257.1	Anopheles persiensis
metazoans_mit	MW544890.1	Macrophya dolichogaster partial genome
metazoans_mit	MW554922.1	Sturnira parvidens
metazoans_mit	MW556019.1	Wohlfahrtia cheni
metazoans_mit	MW566573.1	Placiphorella stimpsoni
metazoans_mit	MW566574.1	Ischnochiton boninensis
metazoans_mit	MW566575.1	Ischnochiton hakodadensis
metazoans_mit	MW566577.1	Acanthochitona rubrolineata
metazoans_mit	MW566579.1	Ischnochiton comptus
metazoans_mit	MW566580.1	Onithochiton hirasei
metazoans_mit	MW566582.1	Lepidozona sp.
metazoans_mit	MW566583.1	Ischnochiton sp.
metazoans_mit	MW592986.1	Exechonella vieirai partial genome
metazoans_mit	MW592987.1	Cupuladria biporosa partial genome
metazoans_mit	MW592988.1	Parantropora penelope partial genome
metazoans_mit	MW602149.1	Nannopus ganghwaensis
metazoans_mit	MW604247.1	Microcotyle kasago
metazoans_mit	MW617354.1	Agapanthia amurensis
metazoans_mit	MW617356.1	Moechotypa diphysis
metazoans_mit	MW619686.1	Ischnobaenella hainana partial genome
metazoans_mit	MW619704.1	Arbanatus sp. mitochondrial genome
metazoans_mit	MW619718.1	Mezira sp.
metazoans_mit	MW619719.1	Neuroctenus sp.
metazoans_mit	MW619724.1	Manocoreus sp.
metazoans_mit	MW642300.1	Sialis koreana partial genome
metazoans_mit	MW642303.1	Protohermes differentialis partial genome
metazoans_mit	MW642304.1	Protohermes gutianensis partial genome
metazoans_mit	MW642305.1	Protohermes sinensis partial genome
metazoans_mit	MW642306.1	Protohermes subnubilus partial genome
metazoans_mit	MW642307.1	Archichauliodes neoguttiferus partial genome
metazoans_mit	MW642308.1	Ctenochauliodes griseus partial genome
metazoans_mit	MW642310.1	Madachauliodes sp. partial genome
metazoans_mit	MW642311.1	Neohermes filicornis partial genome
metazoans_mit	MW642312.1	Neohermes inexpectatus partial genome
metazoans_mit	MW642313.1	Protochauliodes humeralis partial genome
metazoans_mit	MW642314.1	Ctenochauliodes nigrovenosus partial genome
metazoans_mit	MW642315.1	Haplosialis sp. partial genome
metazoans_mit	MW642316.1	Indosialis bannaensis partial genome
metazoans_mit	MW642317.1	Protosialis americana partial genome
metazoans_mit	MW642318.1	Sialis kuwayamai partial genome
metazoans_mit	MW642319.1	Acanthacorydalis asiatica partial genome
metazoans_mit	MW642320.1	Neurhermes tonkinensis partial genome
metazoans_mit	MW642321.1	Protohermes costalis partial genome
metazoans_mit	MW642322.1	Anachauliodes laboissierei partial genome
metazoans_mit	MW642323.1	Neochauliodes bachmanus partial genome
metazoans_mit	MW642324.1	Neochauliodes digitiformis partial genome
metazoans_mit	MW642327.1	Neochauliodes koreanus partial genome
metazoans_mit	MW642328.1	Neochauliodes latus partial genome
metazoans_mit	MW642329.1	Neochauliodes tamdaoensis partial genome
metazoans_mit	MW642330.1	Neochauliodes umbratus partial genome
metazoans_mit	MW642331.1	Neohermes californicus partial genome
metazoans_mit	MW642332.1	Protochauliodes sp. partial genome
metazoans_mit	MW642333.1	Puri aleca partial genome
metazoans_mit	MW642334.1	Taeniochauliodes attenuatus partial genome
metazoans_mit	MW642335.1	Taeniochauliodes natalensis partial genome
metazoans_mit	MW713530.1	Rupicapra rupicapra asiatica partial genome
metazoans_mit	MW713531.1	Rupicapra rupicapra caucasica partial genome
metazoans_mit	MW722939.1	Cellana grata
metazoans_mit	MW735838.1	Patelloida saccharina lanx
metazoans_mit	MW735839.1	Scutellastra flexuosa
metazoans_mit	MW735944.1	Lepinotus sp.
metazoans_mit	MW788876.1	Dudusa sphingiformis
metazoans_mit	MW829594.1	Tetraserica leishanica partial genome
metazoans_mit	MW832845.1	Cheiracanthium erraticum
metazoans_mit	MW832846.1	Peucetia latikae
metazoans_mit	MW832847.1	Evarcha sp.
metazoans_mit	MW832848.1	Atypus sp.
metazoans_mit	MW832849.1	Heliophanus lineiventris
metazoans_mit	MW832850.1	Heriaeus mellotteei
metazoans_mit	MW832852.1	Thomisus onustus
metazoans_mit	MW832853.1	Heteropoda venatoria
metazoans_mit	MW832854.1	Stegodyphus lineatus
metazoans_mit	MW832855.1	Dendryphantes sp.
metazoans_mit	MW832856.1	Clubiona sp.
metazoans_mit	MW832857.1	Singa sp.
metazoans_mit	MW832858.1	Titanoecidae sp.
metazoans_mit	MW846232.1	Parasaccocoelium mugili
metazoans_mit	MW847210.1	Cubaris murina
metazoans_mit	MW851291.1	Neoechinorhynchus qinghaiensis
metazoans_mit	MW924498.1	Phlaeoba angustidorsis partial genome
metazoans_mit	MW934450.1	Homogryllacris parcibrevipenna partial genome
metazoans_mit	MW936629.1	Ricanula fujianensis
metazoans_mit	MZ027640.1	Cyllorhynchites cumulatus
metazoans_mit	MZ048283.1	Patelloida conulus
metazoans_mit	MZ058052.1	Cryptocercus gexigouensis
metazoans_mit	MZ058057.1	Cryptocercus punctulatus
metazoans_mit	MZ058059.1	Cryptocercus clevelandi
metazoans_mit	MZ058064.1	Cryptocercus ningshanensis
metazoans_mit	MZ058065.1	Cryptocercus neixiangensis
metazoans_mit	MZ058067.1	Cryptocercus hirtus
metazoans_mit	MZ058068.1	Cryptocercus shennongjiaensis
metazoans_mit	MZ058069.1	Cryptocercus wuxiensis
metazoans_mit	MZ058070.1	Cryptocercus habaensis
metazoans_mit	MZ058071.1	Cryptocercus arcuatus
metazoans_mit	MZ058072.1	Cryptocercus luanchuanensis
metazoans_mit	MZ058073.1	Cryptocercus chengkouensis
metazoans_mit	MZ099629.1	Glypthelmins quieta
metazoans_mit	MZ129308.1	Ianthocincla maxima
metazoans_mit	MZ130258.1	Lottia cassis
metazoans_mit	MZ130310.1	Patelloida ryukyuensis
metazoans_mit	MZ151169.1	Ceroplastes japonicus
metazoans_mit	MZ159968.1	Sisyra aurorae partial genome
metazoans_mit	MZ169619.1	Cricotopus bicinctus
metazoans_mit	MZ265343.1	Empronus sp.
metazoans_mit	MZ265344.1	Hemibeleses sp.
metazoans_mit	MZ274212.1	Xanthocaecilius sommermanae
metazoans_mit	MZ317923.1	Pericoma sp. partial genome
metazoans_mit	MZ343610.1	Haematoloechus sp.
metazoans_mit	MZ352138.1	Bombus confusus
metazoans_mit	MZ352139.1	Bombus cullumanus
metazoans_mit	MZ352140.1	Bombus difficillimus
metazoans_mit	MZ352141.1	Bombus haemorrhoidalis
metazoans_mit	MZ352142.1	Bombus opulentus
metazoans_mit	MZ352143.1	Bombus picipes
metazoans_mit	MZ352144.1	Bombus polaris
metazoans_mit	MZ352146.1	Bombus soroeensis
metazoans_mit	MZ352147.1	Bombus superbus
metazoans_mit	MZ352148.1	Bombus turneri
metazoans_mit	MZ357085.1	Bolbosoma capitatum
metazoans_mit	MZ425439.1	Luciaphorus auriculariae
metazoans_mit	MZ425440.1	Mahunkania secunda
metazoans_mit	MZ425441.1	Siteroptes sp.
metazoans_mit	MZ425442.1	Acarus farris
metazoans_mit	MZ425443.1	Analgoidea sp.
metazoans_mit	MZ425444.1	Caloglyphus sp.
metazoans_mit	MZ425445.1	Oligonychus shinkajii
metazoans_mit	MZ425446.1	Petrobia harti
metazoans_mit	MZ464014.1	Clerus sp. partial genome
metazoans_mit	MZ464017.1	Callimerus inbasalis partial genome
metazoans_mit	MZ465548.1	Isoscelipteron pectinatum partial genome
metazoans_mit	MZ475052.1	Callimerus nigroapicalis partial genome
metazoans_mit	MZ475053.1	Clerus klapperichi partial genome
metazoans_mit	MZ490580.1	Omadius sp. partial genome
metazoans_mit	MZ490581.1	Tillus nitidus partial genome
metazoans_mit	MZ540208.1	Ctena divergens
metazoans_mit	MZ557447.1	Chama dunkeri
metazoans_mit	MZ562614.1	Rhagonycha przewalskii partial genome
metazoans_mit	MZ562615.1	Rhagonycha bimucronata partial genome
metazoans_mit	MZ562616.1	Rhagonycha pekinensis
metazoans_mit	MZ562617.1	Rhagonycha limbatella
metazoans_mit	MZ562618.1	Rhagonycha nigripes
metazoans_mit	MZ562619.1	Rhagonycha albolimbata
metazoans_mit	MZ562620.1	Rhagonycha spinosa
metazoans_mit	MZ562674.1	Nymphomyia alba
metazoans_mit	MZ562675.1	Horaia xizangana
metazoans_mit	MZ562676.1	Deuterophlebia shasta
metazoans_mit	MZ562678.1	Bibio rufiventris
metazoans_mit	MZ562679.1	Protaxymyia sp.
metazoans_mit	MZ562680.1	Plecia sp.
metazoans_mit	MZ571411.1	Pygoscelis papua partial genome
metazoans_mit	MZ673659.1	Bispira melanostigma
metazoans_mit	MZ675556.1	Spheciospongia vesparium
metazoans_mit	MZ688407.1	Chama limbula
metazoans_mit	MZ701705.1	Barnea manilensis
metazoans_mit	MZ701706.1	Chama asperella
metazoans_mit	MZ751053.1	Rhopalosiphum padi
metazoans_mit	MZ826154.1	Nipponacmea concinna
metazoans_mit	MZ857197.1	Dendrobaena octaedra
metazoans_mit	MZ857199.1	Bimastos parvus
metazoans_mit	MZ857201.1	Octolasion tyrtaeum
metazoans_mit	MZ888504.1	Tamgrinia laticeps
metazoans_mit	MZ888505.1	Tamgrinia tibetana
metazoans_mit	MZ895123.1	Nanorana kangxianensis
metazoans_mit	MZ901174.1	Nipponacmea radula
metazoans_mit	MZ921947.1	Mesochaetopterus japonicus
metazoans_mit	MZ958236.1	Pseudoacanthocephalus bufonis
metazoans_mit	MZ958824.1	Apanteles altus
metazoans_mit	NC_006386.1	Spadella cephaloptera
metazoans_mit	NC_006664.1	Luidia quinaria
metazoans_mit	NC_006665.1	Asterias amurensis
metazoans_mit	NC_006666.1	Astropecten polyacanthus
metazoans_mit	NC_019663.1	Nuttalliella namaqua
metazoans_mit	NC_020322.1	Phyxioschema suthepium
metazoans_mit	NC_020323.1	Liphistius erawan
metazoans_mit	NC_020324.1	Pholcus phalangioides
metazoans_mit	NC_021113.1	Clathrina clathrus chromosome 5
metazoans_mit	NC_021114.1	Clathrina clathrus chromosome 4
metazoans_mit	NC_021115.1	Clathrina clathrus chromosome 3
metazoans_mit	NC_022675.1	Lepidocampa weberi
metazoans_mit	NC_025503.1	Liposcelis entomophila minichromosome I
metazoans_mit	NC_026863.1	Argyroneta aquatica
metazoans_mit	NC_027523.1	Kudoa septempunctata
metazoans_mit	NC_029216.1	Thymallus mertensii
metazoans_mit	NC_029496.1	Acraea jodutta
metazoans_mit	NC_029497.1	Acraea egina
metazoans_mit	NC_029498.1	Acraea acerata
metazoans_mit	NC_029499.1	Acraea zetes
metazoans_mit	NC_029500.1	Acraea circeis
metazoans_mit	NC_029501.1	Acraea pharsalus
metazoans_mit	NC_029502.1	Acraea bonasia
metazoans_mit	NC_029503.1	Acraea rogersi
metazoans_mit	NC_029504.1	Acraea poggei
metazoans_mit	NC_029505.1	Acraea penelope
metazoans_mit	NC_029507.1	Acraea perenna
metazoans_mit	NC_029508.1	Acraea lycoa
metazoans_mit	NC_029509.1	Acraea polis
metazoans_mit	NC_029510.1	Acraea serena
metazoans_mit	NC_029511.1	Acraea alcinoe
metazoans_mit	NC_029512.1	Acraea parrhasia
metazoans_mit	NC_029513.1	Acraea vestalis
metazoans_mit	NC_029514.1	Acraea kalinzu
metazoans_mit	NC_029887.1	Oligolophus tienmushanensis
metazoans_mit	NC_030317.1	Schyzocotyle nayarensis
metazoans_mit	NC_030354.1	Conus capitaneus
metazoans_mit	NC_034355.1	Papilio dardanus
metazoans_mit	NC_034356.1	Papilio rex
metazoans_mit	NC_037195.1	Hydrotaea ignava
metazoans_mit	NC_037200.1	Dermestes maculatus
metazoans_mit	NC_037525.1	Ornithodoros savignyi
metazoans_mit	NC_039847.1	Octopus cyanea
metazoans_mit	NC_044849.1	Dermestes tessellatocollis
metazoans_mit	NC_044850.1	Dermestes frischii
metazoans_mit	NC_044851.1	Dermestes coarctatus
metazoans_mit	NC_045231.1	Reticulitermes tibialis
metazoans_mit	NC_045240.1	Reticulitermes lucifugus
metazoans_mit	NC_050255.1	Amblyomma ovale
metazoans_mit	NC_053738.1	Cyriopagopus hainanus
metazoans_mit	NC_058608.1	Dodona maculosa
metazoans_mit	NC_060409.1	Rhipicephalus linnaei
metazoans_mit	NC_061381.1	Atopochilus savorgnani
metazoans_mit	NC_061382.1	Mochokiella paynei
metazoans_mit	NC_061383.1	Synodontis petricola
metazoans_mit	NC_061384.1	Synodontis caudovittatus
